,phi,dphi,delta,rhoChi,kh,t,N,a,E,B,G,H,sigmaE,sigmaB,s,xi,xieff
59,15.362646451293987,-0.1282631214552757,0.990920504753086,0.003430587230674649,13.699962312658316,1.4602481980956732,1.4514696911758553,4.269384583356757,2.047410967803687,3.1504368734757873,-1.3174947562189094,0.9879810304614906,0.007524556041077957,0.0,0.003808046819260893,-1.622793321691655,-1.622793321691655
60,15.354632524106822,-0.1282625584222056,0.9904538098303624,0.0035444364514920015,14.571756390009831,1.5227287072978068,1.513183193258624,4.5411632116624885,2.09096520492615,3.171321601270697,-1.3478503153255363,0.9874670858971692,0.007554269356851411,0.0,0.0038250740023339285,-1.6236308057001196,-1.6236308057001196
61,15.34795651128187,-0.12826213856320934,0.9900638533339744,0.0036367307495677142,15.339855302342503,1.5747783779964992,1.5645693876051219,4.780615900142174,2.1260773763996554,3.1869205169096855,-1.3714973738898133,0.9870389453172915,0.007576826528637552,0.0,0.0038381598641996444,-1.6243297588675496,-1.6243297588675496
62,15.341280519300469,-0.1282617565280777,0.9896729357949173,0.0037266446553743757,16.148094040782503,1.6268280486951914,1.6159332974460614,5.032582628864309,2.1600533427398183,3.2010281766213824,-1.3936920376891162,0.9866108074095683,0.007597570742841721,0.0,0.003850338292355522,-1.6250297934709432,-1.6250297934709432
63,15.33385316519031,-0.1282613693024238,0.9892370011265851,0.0038237975148062314,17.09700899392074,1.6847359216251865,1.67305203930008,5.328405508528927,2.19644700050119,3.2151229987408962,-1.4167291336699483,0.9861344853397509,0.007618709324817096,0.0,0.003862915980568431,-1.6258098059798884,-1.6258098059798884
64,15.325902230835615,-0.12826099194873786,0.988769268470566,0.003924328638195656,18.174161431614465,1.7467261083459766,1.734166895821366,5.664206963112356,2.233691885221825,3.228516792173971,-1.4395284408440243,0.9856245871741011,0.007639288341463433,0.0,0.0038753539840996414,-1.6266461086933321,-1.6266461086933321
65,15.31917423754139,-0.1282606978919799,0.9883727069249298,0.004006508425624802,19.138020479088738,1.799181660084118,1.7858570608647353,5.964689859766007,2.263777412903506,3.2386117197642545,-1.4573794284430073,0.9851931180727748,0.007655206019596825,0.0,0.003885129666035358,-1.627354773636694,-1.627354773636694
66,15.312446259145105,-0.12826042341234598,0.9879755121761203,0.004085970098593918,20.152554031392512,1.8516372118222593,1.8375245930090014,6.28097104174713,2.292522235116073,3.247677734596744,-1.4739678203171613,0.9847616508812399,0.007669882019378609,0.0,0.0038942834606297957,-1.6280643049204948,-1.6280643049204948
67,15.305008395520566,-0.1282601393228328,0.9875357453774737,0.004170583676390885,21.336297650806102,1.9096276016419416,1.894617474557222,6.650004122266181,2.322719764011943,3.2566147708092488,-1.490907177006398,0.9842846595833514,0.007684796669953801,0.0,0.00390374704874847,-1.6288496685644458,-1.6288496685644458
68,15.297069648798603,-0.1282598549627701,0.9870656782696511,0.004257082393753233,22.675899123444278,1.9715233367931833,1.9555247412215881,7.067626725905922,2.353111173876255,3.2650225059060323,-1.507454760891673,0.9837755477047727,0.007699350221351271,0.0,0.003913164054196342,-1.6296889984459697,-1.6296889984459697
