,phi,dphi,delta,rhoChi,kh,t,N,a,E,B,G,kS,H,sigmaE,sigmaB,s,xi,xieff
73,15.261741099544642,-0.1282587511515402,1.0,0.004658208144068292,29.713446706590993,2.24696966656034,2.2261900776239587,9.264501722119018,2.4910767740108843,3.330595397997496,-1.5820087865208092,29.713446706590993,0.9815099401525993,0.007797183784511243,0.0,0.0,-1.633436732332014,-1.633436732332014
74,15.254984062005123,-0.1282585603276773,1.0,0.004716615896501971,31.289574876704577,2.2996525636406377,2.277887450387904,9.756048487774443,2.50965029095416,3.33534981196324,-1.5909296635258516,31.289574876704577,0.981076615814786,0.007806609999911778,0.0,0.0,-1.6341557613871767,-1.6341557613871767
75,15.247507080948267,-0.12825835415876272,1.0,0.004778046856370824,33.13039967187734,2.3579487667987573,2.335066515776145,10.330147024264967,2.528844812625796,3.340170634320978,-1.599994543605274,33.13039967187734,0.9805971227179441,0.007816503051413421,0.0,0.0,-1.6349522039599966,-1.6349522039599966
76,15.239529525481892,-0.12825813901321345,1.0,0.004839974268400073,35.212980131456135,2.4201479290530115,2.3960429249590667,10.979643033679668,2.547824137412069,3.344866040765589,-1.6088121808896545,35.212980131456135,0.9800855290051677,0.007826509262922767,0.0,0.0,-1.6358028868077643,-1.6358028868077643
77,15.23274473003133,-0.1282579593019119,1.0,0.004889791514415966,37.08597638371108,2.47304749759592,2.4478775182091606,11.563776748207776,2.5628095751253883,3.3485405447628755,-1.615679653037393,37.08597638371108,0.9796504266263769,0.007834627209675296,0.0,0.0,-1.6365271199798528,-1.6365271199798528
78,15.225959944019124,-0.1282577821016352,1.0,0.004937075217066458,39.057717321342345,2.525947066138828,2.4996890947632258,12.178706948265624,2.5767899980224316,3.351958069977648,-1.6220187004737212,39.057717321342345,0.9792153254576674,0.007842427880078977,0.0,0.0,-1.6372520267910664,-1.6372520267910664
79,15.218489812436543,-0.12825758943608534,1.0,0.004986313026035574,41.349015777396694,2.5841902158503314,2.556707728838082,12.89329912634807,2.5910868291156683,3.355460089051581,-1.6284425177316475,41.349015777396694,0.9787362744908472,0.007850693388676697,0.0,0.0,-1.63805093336822,-1.63805093336822
80,15.2105480192149,-0.12825738692133287,1.0,0.005035556409049598,43.931265944553694,2.646110914170175,2.6172959943949095,13.698632281659942,2.605108166334846,3.358923030328027,-1.6346965004451375,43.931265944553694,0.9782269771883431,0.00785915696608194,0.0,0.0,-1.6389011690565811,-1.6389011690565811
81,15.203745526478482,-0.12825721502160217,1.0,0.005075313837225929,46.26978293765763,2.6991487739305606,2.6691674911410423,14.427952793100419,2.616219008723007,3.361704761882611,-1.6396299886370385,46.26978293765763,0.977790742442291,0.007866175898481566,0.0,0.0,-1.6396301562086517,-1.6396301562086517
82,15.196943042826748,-0.1282570443111332,1.0,0.005112949113844246,48.731672857307146,2.7521866336909464,2.7210158509608173,15.19575102523577,2.6265588484608826,3.364339136699718,-1.6442128366501747,48.731672857307146,0.9773545088610701,0.007873009913770494,0.0,0.0,-1.6403598073716565,-1.6403598073716565
83,15.189483798077195,-0.12825685824510827,1.0,0.00515190784132013,51.58073069990173,2.810345233910113,2.7778435110221174,16.08429791039929,2.6370750411840103,3.3670811301854675,-1.6488765266856151,51.58073069990173,0.976876158791653,0.007880318902177745,0.0,0.0,-1.6411606667184355,-1.6411606667184355
84,15.181573955446853,-0.12825666198088034,1.0,0.005190737077250067,54.78243459013575,2.87201716939551,2.838073713051304,17.082827395715675,2.647362171129632,3.3698451032295993,-1.6534544559245212,54.78243459013575,0.9763689133181465,0.007887887733016954,0.0,0.0,-1.6420107736865281,-1.6420107736865281
85,15.174026047608434,-0.12825647549191424,1.0,0.0052255623458009465,58.021102304296555,2.9308672377868756,2.8955188476379536,18.092886457752755,2.656420458460455,3.372365574933753,-1.657511618230721,58.021102304296555,0.9758848788619641,0.007894961676864043,0.0,0.0,-1.6428228148370527,-1.6428228148370527
86,15.167205775207979,-0.1282563075072785,1.0,0.005255285674835054,61.11044276216689,2.984044099560901,2.947401713912741,19.05637543166716,2.664024359175522,3.3745596225893126,-1.6609469017802063,61.11044276216689,0.9754475070294423,0.007901247409459305,0.0,0.0,-1.6435572722137177,-1.6435572722137177
87,15.160612692793947,-0.1282561454919211,1.0,0.005282549512494397,64.25174849290057,3.0354496538591977,2.9975342665102542,20.036072350424842,2.6708953300317164,3.376616287612956,-1.6640831465405428,64.25174849290057,0.9750247050268046,0.007907241672023245,0.0,0.0,-1.6442678943247289,-1.6442678943247289
88,15.153492155231936,-0.12825597083414467,1.0,0.00531048306109792,67.82434571150694,3.0909677920690406,3.051653147320382,21.150280066518505,2.6778322085781983,3.3787769011796125,-1.6672896328661888,67.82434571150694,0.9745680789144207,0.007913637999012756,0.0,0.0,-1.6450360627577967,-1.6450360627577967
89,15.14564095658053,-0.12825577853774775,1.0,0.005339599645582644,71.99215403432751,3.1521829112353172,3.1112960380665524,22.450121766397814,2.6849529883263665,3.381097745609972,-1.67063410872315,71.99215403432751,0.9740645976589759,0.007920611986946761,0.0,0.0,-1.6458838926852497,-1.6458838926852497
