# This data is taken from: https://arxiv.org/abs/2005.03544
# Adaptation: added in frequencies in Hz corresponding to T in GeV
#
### Effective degrees of freedom for the energy density and for the entropy density in the Standard Model.
### Data points are spaced over the interval in log(T).
### 
### K. Saikawa and S. Shirai (2020).
#
T[GeV] f[Hz] g_*rho g_*s
14961.2 0.0003954908820947348 104.111 104.104
15709.3 0.00041526914230328077 104.115 104.108
16494.7 0.0004360343706080594 104.12 104.113
17319.5 0.00045784073843571025 104.124 104.117
18185.4 0.0004807338702082246 104.128 104.121
19094.7 0.0005047745880233461 104.132 104.125
20049.4 0.0005300166330437527 104.137 104.13
21051.9 0.0005565191479880076 104.14 104.134
22104.5 0.0005843489778415316 104.144 104.138
23209.7 0.0006135726386553725 104.149 104.142
24370.2 0.0006442526975775216 104.152 104.146
25588.7 0.000676472644891298 104.157 104.15
26868.2 0.0007103025411459041 104.161 104.154
28211.6 0.0007458221766107584 104.165 104.158
29622.2 0.0007831150665352797 104.168 104.162
31103.3 0.0008222758172681743 104.172 104.166
32658.4 0.0008633934144057077 104.176 104.17
34291.3 0.0009065683571034235 104.18 104.174
36005.9 0.0009519068366097741 104.184 104.177
37806.2 0.0009995055074492776 104.188 104.182
39696.5 0.001049490590622234 104.192 104.185
41681.4 0.001101974152807461 104.196 104.189
43765.4 0.0011570728596292318 104.199 104.193
45953.7 0.0012149350678552755 104.203 104.197
48251.4 0.0012756944591609618 104.207 104.2
50663.9 0.0013394858994727782 104.211 104.204
53197.1 0.0014064625748658995 104.214 104.208
55857.0 0.0014767963392554478 104.218 104.212
58649.8 0.0015506447521483721 104.222 104.216
61582.3 0.0016281850642547388 104.225 104.219
64661.5 0.0017096129664794604 104.229 104.222
67894.5 0.0017950973708132465 104.233 104.227
71289.3 0.0018848723040145222 104.237 104.23
74853.7 0.001979117363454953 104.24 104.234
78596.4 0.0020780869167971437 104.244 104.238
82526.2 0.002182001198292909 104.247 104.241
86652.5 0.002291115643632596 104.251 104.245
90985.2 0.002405684945259414 104.254 104.248
95534.4 0.002525983756631278 104.258 104.252
100311.0 0.002652292489768341 104.261 104.255
105327.0 0.0027849368175902932 104.265 104.259
110593.0 0.0029241884251851717 104.268 104.262
116123.0 0.0030704267297257002 104.272 104.266
121929.0 0.00322396470973542 104.276 104.27
128025.0 0.0033851672762501657 104.279 104.273
134427.0 0.0035544625119474666 104.282 104.276
141148.0 0.0037322002393758553 104.286 104.28
148205.0 0.003918818460971165 104.289 104.283
155616.0 0.004114805515676732 104.293 104.287
163396.0 0.004320545348588755 104.296 104.29
171566.0 0.0045365996502607035 104.299 104.293
180144.0 0.004763429308573787 104.302 104.297
189152.0 0.0050016698779276015 104.306 104.3
198609.0 0.005251762677734876 104.309 104.303
208540.0 0.0055144005942824115 104.313 104.307
218967.0 0.005790148374061879 104.316 104.31
229915.0 0.006079656246988629 104.319 104.314
241411.0 0.006383676263558014 104.322 104.317
253481.0 0.006702909780176897 104.326 104.32
266155.0 0.00703808767379346 104.329 104.323
279463.0 0.007390034080676907 104.332 104.326
293436.0 0.007759544208337247 104.335 104.33
308108.0 0.008147604792324967 104.339 104.333
323513.0 0.008555015445192592 104.342 104.336
339689.0 0.008982818512295864 104.345 104.339
356674.0 0.009431989041053412 104.348 104.343
374507.0 0.009903617431517114 104.351 104.346
393233.0 0.010398915137559969 104.355 104.349
412894.0 0.010918896014625356 104.358 104.352
433539.0 0.011464903672197614 104.361 104.355
455216.0 0.012038207846251963 104.364 104.358
477977.0 0.012640143704746377 104.367 104.362
501876.0 0.01327221843395128 104.37 104.365
526969.0 0.013935919462899356 104.373 104.367
553318.0 0.014632753336945085 104.376 104.371
580984.0 0.015364540840827983 104.38 104.374
610033.0 0.016132762585580898 104.382 104.377
640534.0 0.01693946465770149 104.385 104.38
672561.0 0.01778653101152712 104.388 104.383
706189.0 0.01867603513588349 104.392 104.386
741499.0 0.019609945350291494 104.395 104.389
778574.0 0.020590542545567008 104.398 104.392
