# This data is taken from: https://arxiv.org/abs/1803.01038
# Adaptation: added in frequencies in Hz corresponding to T in GeV
#
# Original Header:
### Effective degrees of freedom for the energy density and for the entropy density in the Standard Model.
### Data points are spaced over the interval in log(T).
### 
### K. Saikawa and S. Shirai (2018).
#
#
T[GeV] f[Hz] g_*rho g_*s
8.8971818e-06 1.2637298236922106e-13 3.3830836 3.9309363
8.9438102e-06 1.2703527860004606e-13 3.3830836 3.9309363
8.9906831e-06 1.2770104763775355e-13 3.3830836 3.9309363
9.0378016e-06 1.2837030510642347e-13 3.3830836 3.9309363
9.085167e-06 1.2904306947087773e-13 3.3830836 3.9309363
9.1327807e-06 1.2971936061630912e-13 3.3830836 3.9309363
9.1806439e-06 1.3039919558716861e-13 3.3830836 3.9309363
9.228758e-06 1.3108259426864897e-13 3.3830836 3.9309363
9.2771242e-06 1.317695737052011e-13 3.3830836 3.9309363
9.3257439e-06 1.324601537820179e-13 3.3830836 3.9309363
9.3746184e-06 1.3315435296392115e-13 3.3830836 3.9309363
9.423749e-06 1.3385218971573275e-13 3.3830836 3.9309363
9.4731371e-06 1.345536839226455e-13 3.3830836 3.9309363
9.5227841e-06 1.352588554698521e-13 3.3830836 3.9309363
9.5726912e-06 1.359677214018036e-13 3.3830836 3.9309363
9.62286e-06 1.3668030444443457e-13 3.3830836 3.9309363
9.6732916e-06 1.373966202218251e-13 3.3830836 3.9309363
9.7239875e-06 1.3811669003953882e-13 3.3830836 3.9309363
9.7749491e-06 1.3884053378276852e-13 3.3830836 3.9309363
9.8261778e-06 1.3956817133670703e-13 3.3830836 3.9309363
9.877675e-06 1.4029962258654709e-13 3.3830836 3.9309363
9.9294421e-06 1.4103490741748149e-13 3.3830836 3.9309363
9.9814804e-06 1.417740442943321e-13 3.3830836 3.9309363
1.0033792e-05 1.4251706304488812e-13 3.3830836 3.9309363
1.0086377e-05 1.4326396508952046e-13 3.3830836 3.9309363
1.0139238e-05 1.440147873578728e-13 3.3830836 3.9309363
1.0192375e-05 1.4476952984994525e-13 3.3830836 3.9309363
1.0245792e-05 1.455282493805742e-13 3.3830836 3.9309363
1.0299488e-05 1.4629093174605066e-13 3.3830836 3.9309363
1.0353466e-05 1.4705761955750187e-13 3.3830836 3.9309363
1.0407726e-05 1.4782831281492794e-13 3.3830836 3.9309363
1.0462271e-05 1.486030541294562e-13 3.3830836 3.9309363
1.0517102e-05 1.4938185770479588e-13 3.3830836 3.9309363
1.057222e-05 1.5016473774465598e-13 3.3830836 3.9309363
1.0627627e-05 1.5095172265645486e-13 3.3830836 3.9309363
1.0683325e-05 1.5174284084761068e-13 3.3830836 3.9309363
1.0739314e-05 1.525380923181236e-13 3.3830836 3.9309363
1.0795597e-05 1.5333751967912084e-13 3.3830836 3.9309363
1.0852175e-05 1.5414113713431164e-13 3.3830836 3.9309363
1.0909049e-05 1.5494895888740512e-13 3.3830836 3.9309363
1.0966221e-05 1.5576101334581943e-13 3.3830836 3.9309363
1.1023693e-05 1.5657732891697298e-13 3.3830836 3.9309363
1.1081466e-05 1.5739791980457478e-13 3.3830836 3.9309363
1.1139542e-05 1.5822281441604324e-13 3.3830836 3.9309363
1.1197922e-05 1.5905202695508737e-13 3.3830836 3.9309363
1.1256609e-05 1.5988560003283453e-13 3.3830836 3.9309363
1.1315603e-05 1.607235336492849e-13 3.3830836 3.9309363
1.1374906e-05 1.6156585621185654e-13 3.3830836 3.9309363
1.1434519e-05 1.624125819242587e-13 3.3830836 3.9309363
1.1494445e-05 1.6326375339761867e-13 3.3830836 3.9309363
1.1554686e-05 1.6411939903935484e-13 3.3830836 3.9309363
1.1615242e-05 1.6497951884946713e-13 3.3830836 3.9309363
1.1676115e-05 1.6584414123537381e-13 3.3830836 3.9309363
1.1737307e-05 1.6671329460449316e-13 3.3830836 3.9309363
1.179882e-05 1.6758700736424342e-13 3.3830836 3.9309363
1.1860656e-05 1.684653079220429e-13 3.3830836 3.9309363
1.1922815e-05 1.6934819627789157e-13 3.3830836 3.9309363
1.1985301e-05 1.7023572924662583e-13 3.3830836 3.9309363
1.2048113e-05 1.711278926245368e-13 3.3830836 3.9309363
1.2111255e-05 1.720247432264608e-13 3.3830836 3.9309363
1.2174728e-05 1.7292629525610708e-13 3.3830836 3.9309363
1.2238534e-05 1.7383257712089377e-13 3.3830836 3.9309363
1.2302674e-05 1.7474360302453013e-13 3.3830836 3.9309363
1.236715e-05 1.7565940137443434e-13 3.3830836 3.9309363
1.2431964e-05 1.765800005780247e-13 3.3830836 3.9309363
1.2497117e-05 1.7750541483901034e-13 3.3830836 3.9309363
1.2562612e-05 1.7843568676851862e-13 3.3830836 3.9309363
1.2628451e-05 1.793708447739679e-13 3.3830836 3.9309363
